date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:50:32	5590/5590	---M--	200	added ('OK')	image/svg+xml	etag:%2215d6-5af06c38b8a8a%22	https://jthemes.net/themes/html/bolby/demo/images/logo.svg	C:/Users/rahul/OneDrive/Desktop/selfweb/selfweb/jthemes.net/themes/html/bolby/demo/images/logo.svg	(from https://jthemes.net/themes/html/bolby/demo/index-2-dark.html)
05:50:32	2353/2353	---M--	200	added ('OK')	image/svg+xml	etag:%22931-5af06c362c510%22	https://jthemes.net/themes/html/bolby/demo/images/logo-b-light.svg	C:/Users/rahul/OneDrive/Desktop/selfweb/selfweb/jthemes.net/themes/html/bolby/demo/images/logo-b-light.svg	(from https://jthemes.net/themes/html/bolby/demo/index-2-dark.html)
05:50:33	13264/13264	---M--	200	added ('OK')	image/svg+xml	etag:%2233d0-5af06c31e885a%22	https://jthemes.net/themes/html/bolby/demo/images/avatar-1.svg	C:/Users/rahul/OneDrive/Desktop/selfweb/selfweb/jthemes.net/themes/html/bolby/demo/images/avatar-1.svg	(from https://jthemes.net/themes/html/bolby/demo/index-2-dark.html)
05:50:33	14337/14337	---M--	200	added ('OK')	image/svg+xml	etag:%223801-5af06c2f0c1a0%22	https://jthemes.net/themes/html/bolby/demo/images/avatar-2.svg	C:/Users/rahul/OneDrive/Desktop/selfweb/selfweb/jthemes.net/themes/html/bolby/demo/images/avatar-2.svg	(from https://jthemes.net/themes/html/bolby/demo/index-2-dark.html)
05:50:33	20612/20612	---M--	200	added ('OK')	image/svg+xml	etag:%225084-5af06c3903da9%22	https://jthemes.net/themes/html/bolby/demo/images/service-1.svg	C:/Users/rahul/OneDrive/Desktop/selfweb/selfweb/jthemes.net/themes/html/bolby/demo/images/service-1.svg	(from https://jthemes.net/themes/html/bolby/demo/index-2-dark.html)
05:50:34	4571/4571	---M--	200	added ('OK')	image/svg+xml	etag:%2211db-5af06c39faec7%22	https://jthemes.net/themes/html/bolby/demo/images/service-2.svg	C:/Users/rahul/OneDrive/Desktop/selfweb/selfweb/jthemes.net/themes/html/bolby/demo/images/service-2.svg	(from https://jthemes.net/themes/html/bolby/demo/index-2-dark.html)
05:50:35	7753/7753	---M--	200	added ('OK')	image/svg+xml	etag:%221e49-5af06c39accc8%22	https://jthemes.net/themes/html/bolby/demo/images/service-3.svg	C:/Users/rahul/OneDrive/Desktop/selfweb/selfweb/jthemes.net/themes/html/bolby/demo/images/service-3.svg	(from https://jthemes.net/themes/html/bolby/demo/index-2-dark.html)
05:50:35	8523/8523	---M--	200	added ('OK')	image/svg+xml	etag:%22214b-5af06c49b9302%22	https://jthemes.net/themes/html/bolby/demo/images/works/2.svg	C:/Users/rahul/OneDrive/Desktop/selfweb/selfweb/jthemes.net/themes/html/bolby/demo/images/works/2.svg	(from https://jthemes.net/themes/html/bolby/demo/index-2-dark.html)
05:50:35	23435/23435	---M--	200	added ('OK')	image/svg+xml	etag:%225b8b-5af06c48bc424%22	https://jthemes.net/themes/html/bolby/demo/images/works/1.svg	C:/Users/rahul/OneDrive/Desktop/selfweb/selfweb/jthemes.net/themes/html/bolby/demo/images/works/1.svg	(from https://jthemes.net/themes/html/bolby/demo/index-2-dark.html)
05:50:36	21663/21663	---M--	200	added ('OK')	image/svg+xml	etag:%22549f-5af06c36cc78e%22	https://jthemes.net/themes/html/bolby/demo/images/single-work.svg	C:/Users/rahul/OneDrive/Desktop/selfweb/selfweb/jthemes.net/themes/html/bolby/demo/images/single-work.svg	(from https://jthemes.net/themes/html/bolby/demo/index-2-dark.html)
05:50:36	29287/29287	---M--	200	added ('OK')	image/svg+xml	etag:%227267-5af06c48b4724%22	https://jthemes.net/themes/html/bolby/demo/images/works/3.svg	C:/Users/rahul/OneDrive/Desktop/selfweb/selfweb/jthemes.net/themes/html/bolby/demo/images/works/3.svg	(from https://jthemes.net/themes/html/bolby/demo/index-2-dark.html)
05:50:37	14589/14589	---M--	200	added ('OK')	image/svg+xml	etag:%2238fd-5af06c4ae403f%22	https://jthemes.net/themes/html/bolby/demo/images/works/5.svg	C:/Users/rahul/OneDrive/Desktop/selfweb/selfweb/jthemes.net/themes/html/bolby/demo/images/works/5.svg	(from https://jthemes.net/themes/html/bolby/demo/index-2-dark.html)
05:50:37	54755/54755	---M--	200	added ('OK')	image/svg+xml	etag:%22d5e3-5af06c4ae403f%22	https://jthemes.net/themes/html/bolby/demo/images/works/4.svg	C:/Users/rahul/OneDrive/Desktop/selfweb/selfweb/jthemes.net/themes/html/bolby/demo/images/works/4.svg	(from https://jthemes.net/themes/html/bolby/demo/index-2-dark.html)
05:50:37	17149/17149	---M--	200	added ('OK')	image/svg+xml	etag:%2242fd-5af06c49b8362%22	https://jthemes.net/themes/html/bolby/demo/images/works/6.svg	C:/Users/rahul/OneDrive/Desktop/selfweb/selfweb/jthemes.net/themes/html/bolby/demo/images/works/6.svg	(from https://jthemes.net/themes/html/bolby/demo/index-2-dark.html)
05:50:37	2066/2066	---M-Z	200	added ('OK')	text/html	etag:%22812-5af06c0fb5a8a-gzip%22	https://jthemes.net/themes/html/bolby/demo/works-2.html	C:/Users/rahul/OneDrive/Desktop/selfweb/selfweb/jthemes.net/themes/html/bolby/demo/works-2.html	(from https://jthemes.net/themes/html/bolby/demo/index-2-dark.html)
05:50:38	7570/7570	---M--	200	added ('OK')	image/svg+xml	etag:%221d92-5af06c35d75b1%22	https://jthemes.net/themes/html/bolby/demo/images/price-1.svg	C:/Users/rahul/OneDrive/Desktop/selfweb/selfweb/jthemes.net/themes/html/bolby/demo/images/price-1.svg	(from https://jthemes.net/themes/html/bolby/demo/index-2-dark.html)
05:50:38	4044/4044	---M--	200	added ('OK')	image/svg+xml	etag:%22fcc-5af06c344adf4%22	https://jthemes.net/themes/html/bolby/demo/images/price-2.svg	C:/Users/rahul/OneDrive/Desktop/selfweb/selfweb/jthemes.net/themes/html/bolby/demo/images/price-2.svg	(from https://jthemes.net/themes/html/bolby/demo/index-2-dark.html)
05:50:38	4474/4474	---M--	200	added ('OK')	image/svg+xml	etag:%22117a-5af06c33ed1f5%22	https://jthemes.net/themes/html/bolby/demo/images/price-3.svg	C:/Users/rahul/OneDrive/Desktop/selfweb/selfweb/jthemes.net/themes/html/bolby/demo/images/price-3.svg	(from https://jthemes.net/themes/html/bolby/demo/index-2-dark.html)
05:50:39	25807/25807	---M--	200	added ('OK')	image/svg+xml	etag:%2264cf-5af06c2e22b43%22	https://jthemes.net/themes/html/bolby/demo/images/avatar-3.svg	C:/Users/rahul/OneDrive/Desktop/selfweb/selfweb/jthemes.net/themes/html/bolby/demo/images/avatar-3.svg	(from https://jthemes.net/themes/html/bolby/demo/index-2-dark.html)
05:50:39	1571/1571	---M--	200	added ('OK')	image/svg+xml	etag:%22623-5af06c3aa4d85%22	https://jthemes.net/themes/html/bolby/demo/images/client-1-light.svg	C:/Users/rahul/OneDrive/Desktop/selfweb/selfweb/jthemes.net/themes/html/bolby/demo/images/client-1-light.svg	(from https://jthemes.net/themes/html/bolby/demo/index-2-dark.html)
